Title,Year,Rating10,imdbID
"What's Eating Gilbert Grape",1993,7,tt0108550
"Spider-Man 3",2007,6,tt0413300
"Aladdin",1992,8,tt0103639
"Back to the Future Part III",1990,7,tt0099088
"Tropic Thunder",2008,7,tt0942385
"Terkel in Trouble",2004,7,tt0386820
"Mission: Impossible - Ghost Protocol",2011,7,tt1229238
"The Post",2018,7,tt6294822
"The Royal Tenenbaums",2001,9,tt0265666
"Kick-Ass",2010,7,tt1250777
"The Fast and the Furious",2001,5,tt0232500
"Furious 7",2015,7,tt2820852
"I, Robot",2004,6,tt0343818
"Inside Man",2006,7,tt0454848
"Checkered Ninja",2018,6,tt7367960
"Unbreakable",2000,7,tt0217869
"Fast Five",2011,7,tt1596343
"Fantastic Mr. Fox",2009,8,tt0432283
"Ice Age",2002,8,tt0268380
"The Bourne Identity",2002,7,tt0258463
"Grizzly Man",2005,7,tt0427312
"Kon-Tiki",2012,6,tt1613750
"Die Hard with a Vengeance",1995,8,tt0112864
"El Camino: A Breaking Bad Movie",2019,7,tt9243946
"Bridget Jones's Diary",2001,5,tt0243155
"Fast & Furious 6",2013,7,tt1905041
"Pokémon Detective Pikachu",2019,7,tt5884052
"Star Trek Into Darkness",2013,6,tt1408101
"Jurassic World",2015,5,tt0369610
"Cars",2006,7,tt0317219
"X2",2003,6,tt0290334
"Mulan",1998,7,tt0120762
"Back to the Future Part II",1989,8,tt0096874
"O Brother, Where Art Thou?",2000,7,tt0190590
"Training Day",2001,7,tt0139654
"X-Men",2000,6,tt0120903
"Argo",2012,7,tt1024648
"Toy Story 3",2010,8,tt0435761
"E.T. the Extra-Terrestrial",1982,7,tt0083866
"Prometheus",2012,7,tt1446714
"The Last Samurai",2003,8,tt0325710
"Fantastic Beasts: The Crimes of Grindelwald",2018,7,tt4123430
"Oblivion",2013,7,tt1483013
"Star Trek",2009,6,tt0796366
"Die Hard 2",1990,7,tt0099423
"Dawn of the Planet of the Apes",2014,6,tt2103281
"Juno",2007,7,tt0467406
"Signs",2002,6,tt0286106
"I Am Legend",2007,7,tt0480249
"Walk the Line",2005,8,tt0358273
"The Accountant",2016,6,tt2140479
"Sherlock Holmes",2009,7,tt0988045
"The Incredibles",2004,8,tt0317705
"Max Manus: Man of War",2008,7,tt1029235
"First Man",2018,7,tt1213641
"Million Dollar Baby",2004,7,tt0405159
"American Gangster",2007,8,tt0765429
"Casino Royale",2006,9,tt0381061
"Watchmen",2009,7,tt0409459
"Frozen",2013,7,tt2294629
"Don't Breathe",2016,7,tt4160708
"Spider-Man 2",2004,7,tt0316654
"Thor: The Dark World",2013,6,tt1981115
"Man of Steel",2013,5,tt0770828
"Top Gun",1986,7,tt0092099
"Iron Man 2",2010,6,tt1228705
"Deepwater Horizon",2016,6,tt1860357
"Icarus",2017,7,tt6333060
"Kung Fu Panda",2008,6,tt0441773
"The Fugitive",1993,8,tt0106977
"X-Men: First Class",2011,7,tt1270798
"Birdman or (The Unexpected Virtue of Ignorance)",2014,6,tt2562232
"It",2017,6,tt1396484
"Cast Away",2000,7,tt0162222
"50/50",2011,7,tt1306980
"Pirates of the Caribbean: At World's End",2007,7,tt0449088
"Thor",2011,6,tt0800369
"Taken",2008,6,tt0936501
"X-Men: Apocalypse",2016,6,tt3385516
"Captain America: The First Avenger",2011,6,tt0458339
"Spider-Man",2002,7,tt0145487
"Ant-Man",2015,7,tt0478970
"10 Cloverfield Lane",2016,8,tt1179933
"Harry Potter and the Order of the Phoenix",2007,8,tt0373889
"X-Men: Days of Future Past",2014,7,tt1877832
"The Hunger Games: Catching Fire",2013,6,tt1951264
"Looper",2012,6,tt1276104
"Blood Diamond",2006,7,tt0450259
"The Pinchcliffe Grand Prix",1975,9,tt0073000
"Ant-Man and the Wasp",2018,6,tt5095030
"Captain Marvel",2019,6,tt4154664
"The Equalizer",2014,7,tt0455944
"The Curious Case of Benjamin Button",2008,8,tt0421715
"127 Hours",2010,8,tt1542344
"Gravity",2013,7,tt1454468
"Hot Fuzz",2007,8,tt0425112
"Shaun of the Dead",2004,7,tt0365748
"The Great Gatsby",2013,6,tt1343092
"The Town",2010,7,tt0840361
"The King's Speech",2010,7,tt1504320
"Aliens",1986,8,tt0090605
"Life of Pi",2012,6,tt0454876
"The Hitman's Bodyguard",2017,6,tt1959563
"John Wick: Chapter 3 - Parabellum",2019,6,tt6146586
"Dallas Buyers Club",2013,8,tt0790636
"Fantastic Beasts And Where To Find Them",2016,7,tt3183660
"Home Alone 2: Lost in New York",1992,6,tt0104431
"Mean Girls",2004,6,tt0377092
"Skyfall",2012,7,tt1074638
"Pearl Harbor",2001,6,tt0213149
"Harry Potter and the Prisoner of Azkaban",2004,9,tt0304141
"How to Train Your Dragon",2010,7,tt0892769
"Ratatouille",2007,7,tt0382932
"John Wick Chapter 2",2017,7,tt4425200
"Iron Man 3",2013,7,tt1300854
"The Hobbit: The Battle of the Five Armies - Part 3 (2014)",2014,5,tt2310332
"Fury",2014,7,tt2713180
"Harry Potter and the Half-Blood Prince",2009,8,tt0417741
"Harry Potter and the Deathly Hallows: Part 1",2010,8,tt0926084
"As Good as It Gets",1997,8,tt0119822
"Not Another Teen Movie",2001,3,tt0277371
"The Hunger Games",2012,6,tt1392170
"Rocketman",2019,7,tt2066051
"Avengers: Age of Ultron",2015,7,tt2395427
"The Notebook",2004,7,tt0332280
"Pirates of the Caribbean: Dead Man's Chest",2006,7,tt0383574
"Captain Fantastic",2016,7,tt3553976
"The Social Network",2010,8,tt1285016
"Lost in Translation",2003,7,tt0335266
"Gran Torino",2008,7,tt1205489
"Monsters, Inc.",2001,9,tt0198781
"La La Land",2016,6,tt3783958
"The Irishman",2019,7,tt1302006
"Hidden Figures",2016,7,tt4846340
"Armageddon",1998,6,tt0120591
"Kingsman: The Secret Service",2015,8,tt2802144
"Nightcrawler",2014,7,tt2872718
"John Wick",2014,8,tt2911666
"Edge of Tomorrow",2014,8,tt1631867
"Captain America: The Winter Soldier",2014,8,tt1843866
"Harry Potter and the Deathly Hallows: Part 2",2011,8,tt1201607
"Little Women",2019,7,tt3281548
"Finding Nemo",2003,8,tt0266543
"The Hobbit: The Desolation of Smaug",2013,6,tt1170358
"The Hateful Eight",2015,8,tt3460252
"The Hobbit: An Unexpected Journey",2012,6,tt0903624
"Guardians of the Galaxy Vol. 2",2017,7,tt3896198
"Minority Report",2002,7,tt0181689
"A Quiet Place Part II",2020,6,tt8332922
"The Mummy",1999,7,tt0120616
"Doctor Strange",2016,7,tt1211837
"Captain America: Civil War",2016,8,tt3498820
"Isle of Dogs",2018,7,tt5104604
"Her",2013,7,tt1798709
"Spirited Away",2002,8,tt0245429
"Snowpiercer",2013,7,tt1706620
